n = 3, group_order = 6 = 2 * 3
2 * 3, S3
3, C3
1, 1

n = 4, group_order = 8 = 2^3
2^3, D4
2^2, C4
2^2, C2 x C2
2^2, C2 x C2
2, C2
1, 1

n = 5, group_order = 10 = 2 * 5
2 * 5, D5
5, C5
1, 1

n = 6, group_order = 12 = 2^2 * 3
2^2 * 3, D6
2 * 3, C6
2 * 3, S3
2 * 3, S3
2, C2
3, C3
1, 1

n = 7, group_order = 14 = 2 * 7
2 * 7, D7
7, C7
1, 1

n = 8, group_order = 16 = 2^4
2^4, D8
2^3, C8
2^3, D4
2^3, D4
2^2, C4
2, C2
1, 1

n = 9, group_order = 18 = 2 * 3^2
2 * 3^2, D9
3^2, C9
3, C3
1, 1

n = 10, group_order = 20 = 2^2 * 5
2^2 * 5, D10
2 * 5, C10
2 * 5, D5
2 * 5, D5
2, C2
5, C5
1, 1

n = 11, group_order = 22 = 2 * 11
2 * 11, D11
11, C11
1, 1

n = 12, group_order = 24 = 2^3 * 3
2^3 * 3, D12
2^2 * 3, C12
2^2 * 3, D6
2^2 * 3, D6
2 * 3, C6
2^2, C4
2, C2
3, C3
1, 1

n = 13, group_order = 26 = 2 * 13
2 * 13, D13
13, C13
1, 1

n = 14, group_order = 28 = 2^2 * 7
2^2 * 7, D14
2 * 7, C14
2 * 7, D7
2 * 7, D7
2, C2
7, C7
1, 1

n = 15, group_order = 30 = 2 * 3 * 5
2 * 3 * 5, D15
3 * 5, C15
3, C3
5, C5
1, 1

n = 16, group_order = 32 = 2^5
2^5, D16
2^4, C16
2^4, D8
2^4, D8
2^3, C8
2^2, C4
2, C2
1, 1

n = 17, group_order = 34 = 2 * 17
2 * 17, D17
17, C17
1, 1

n = 18, group_order = 36 = 2^2 * 3^2
2^2 * 3^2, D18
2 * 3^2, C18
2 * 3^2, D9
2 * 3^2, D9
2 * 3, C6
3^2, C9
2, C2
3, C3
1, 1

n = 19, group_order = 38 = 2 * 19
2 * 19, D19
19, C19
1, 1

n = 20, group_order = 40 = 2^3 * 5
2^3 * 5, D20
2^2 * 5, C20
2^2 * 5, D10
2^2 * 5, D10
2 * 5, C10
2^2, C4
2, C2
5, C5
1, 1

n = 21, group_order = 42 = 2 * 3 * 7
2 * 3 * 7, D21
3 * 7, C21
3, C3
7, C7
1, 1

n = 22, group_order = 44 = 2^2 * 11
2^2 * 11, D22
2 * 11, C22
2 * 11, D11
2 * 11, D11
2, C2
11, C11
1, 1

n = 23, group_order = 46 = 2 * 23
2 * 23, D23
23, C23
1, 1

n = 24, group_order = 48 = 2^4 * 3
2^4 * 3, D24
2^3 * 3, C24
2^3 * 3, D12
2^3 * 3, D12
2^2 * 3, C12
2 * 3, C6
2^3, C8
2^2, C4
2, C2
3, C3
1, 1

n = 25, group_order = 50 = 2 * 5^2
2 * 5^2, D25
5^2, C25
5, C5
1, 1

n = 26, group_order = 52 = 2^2 * 13
2^2 * 13, D26
2 * 13, C26
2 * 13, D13
2 * 13, D13
2, C2
13, C13
1, 1

n = 27, group_order = 54 = 2 * 3^3
2 * 3^3, D27
3^3, C27
3^2, C9
3, C3
1, 1

n = 28, group_order = 56 = 2^3 * 7
2^3 * 7, D28
2^2 * 7, C28
2^2 * 7, D14
2^2 * 7, D14
2 * 7, C14
2^2, C4
2, C2
7, C7
1, 1

n = 29, group_order = 58 = 2 * 29
2 * 29, D29
29, C29
1, 1

n = 30, group_order = 60 = 2^2 * 3 * 5
2^2 * 3 * 5, D30
2 * 3 * 5, C30
2 * 3 * 5, D15
2 * 3 * 5, D15
2 * 5, C10
3 * 5, C15
2 * 3, C6
2, C2
3, C3
5, C5
1, 1

n = 31, group_order = 62 = 2 * 31
2 * 31, D31
31, C31
1, 1

n = 32, group_order = 64 = 2^6
2^6, D32
2^5, C32
2^5, D16
2^5, D16
2^4, C16
2^3, C8
2^2, C4
2, C2
1, 1

n = 33, group_order = 66 = 2 * 3 * 11
2 * 3 * 11, D33
3 * 11, C33
3, C3
11, C11
1, 1

n = 34, group_order = 68 = 2^2 * 17
2^2 * 17, D34
2 * 17, C34
2 * 17, D17
2 * 17, D17
2, C2
17, C17
1, 1

n = 35, group_order = 70 = 2 * 5 * 7
2 * 5 * 7, D35
5 * 7, C35
5, C5
7, C7
1, 1

n = 36, group_order = 72 = 2^3 * 3^2
2^3 * 3^2, D36
2^2 * 3^2, C36
2^2 * 3^2, D18
2^2 * 3^2, D18
2 * 3^2, C18
2^2 * 3, C12
2 * 3, C6
3^2, C9
2^2, C4
2, C2
3, C3
1, 1

n = 37, group_order = 74 = 2 * 37
2 * 37, D37
37, C37
1, 1

n = 38, group_order = 76 = 2^2 * 19
2^2 * 19, D38
2 * 19, C38
2 * 19, D19
2 * 19, D19
2, C2
19, C19
1, 1

n = 39, group_order = 78 = 2 * 3 * 13
2 * 3 * 13, D39
3 * 13, C39
3, C3
13, C13
1, 1

n = 40, group_order = 80 = 2^4 * 5
2^4 * 5, D40
2^3 * 5, C40
2^3 * 5, D20
2^3 * 5, D20
2^2 * 5, C20
2 * 5, C10
2^3, C8
2^2, C4
2, C2
5, C5
1, 1

n = 41, group_order = 82 = 2 * 41
2 * 41, D41
41, C41
1, 1

n = 42, group_order = 84 = 2^2 * 3 * 7
2^2 * 3 * 7, D42
2 * 3 * 7, C42
2 * 3 * 7, D21
2 * 3 * 7, D21
2 * 7, C14
3 * 7, C21
2 * 3, C6
2, C2
3, C3
7, C7
1, 1

n = 43, group_order = 86 = 2 * 43
2 * 43, D43
43, C43
1, 1

n = 44, group_order = 88 = 2^3 * 11
2^3 * 11, D44
2^2 * 11, C44
2^2 * 11, D22
2^2 * 11, D22
2 * 11, C22
2^2, C4
2, C2
11, C11
1, 1

n = 45, group_order = 90 = 2 * 3^2 * 5
2 * 3^2 * 5, D45
3^2 * 5, C45
3 * 5, C15
3^2, C9
3, C3
5, C5
1, 1

n = 46, group_order = 92 = 2^2 * 23
2^2 * 23, D46
2 * 23, C46
2 * 23, D23
2 * 23, D23
2, C2
23, C23
1, 1

n = 47, group_order = 94 = 2 * 47
2 * 47, D47
47, C47
1, 1

n = 48, group_order = 96 = 2^5 * 3
2^5 * 3, D48
2^4 * 3, C48
2^4 * 3, D24
2^4 * 3, D24
2^3 * 3, C24
2^2 * 3, C12
2 * 3, C6
2^4, C16
2^3, C8
2^2, C4
2, C2
3, C3
1, 1

n = 49, group_order = 98 = 2 * 7^2
2 * 7^2, D49
7^2, C49
7, C7
1, 1

n = 50, group_order = 100 = 2^2 * 5^2
2^2 * 5^2, D50
2 * 5^2, C50
2 * 5^2, D25
2 * 5^2, D25
2 * 5, C10
5^2, C25
2, C2
5, C5
1, 1

n = 51, group_order = 102 = 2 * 3 * 17
2 * 3 * 17, D51
3 * 17, C51
3, C3
17, C17
1, 1

n = 52, group_order = 104 = 2^3 * 13
2^3 * 13, D52
2^2 * 13, C52
2^2 * 13, D26
2^2 * 13, D26
2 * 13, C26
2^2, C4
2, C2
13, C13
1, 1

n = 53, group_order = 106 = 2 * 53
2 * 53, D53
53, C53
1, 1

n = 54, group_order = 108 = 2^2 * 3^3
2^2 * 3^3, D54
2 * 3^3, C54
2 * 3^3, D27
2 * 3^3, D27
2 * 3^2, C18
3^3, C27
2 * 3, C6
3^2, C9
2, C2
3, C3
1, 1

n = 55, group_order = 110 = 2 * 5 * 11
2 * 5 * 11, D55
5 * 11, C55
5, C5
11, C11
1, 1

n = 56, group_order = 112 = 2^4 * 7
2^4 * 7, D56
2^3 * 7, C56
2^3 * 7, D28
2^3 * 7, D28
2^2 * 7, C28
2 * 7, C14
2^3, C8
2^2, C4
2, C2
7, C7
1, 1

n = 57, group_order = 114 = 2 * 3 * 19
2 * 3 * 19, D57
3 * 19, C57
3, C3
19, C19
1, 1

n = 58, group_order = 116 = 2^2 * 29
2^2 * 29, D58
2 * 29, C58
2 * 29, D29
2 * 29, D29
2, C2
29, C29
1, 1

n = 59, group_order = 118 = 2 * 59
2 * 59, D59
59, C59
1, 1

n = 60, group_order = 120 = 2^3 * 3 * 5
2^3 * 3 * 5, D60
2^2 * 3 * 5, C60
2^2 * 3 * 5, D30
2^2 * 3 * 5, D30
2 * 3 * 5, C30
2^2 * 5, C20
2 * 5, C10
3 * 5, C15
2^2 * 3, C12
2 * 3, C6
2^2, C4
2, C2
3, C3
5, C5
1, 1

n = 61, group_order = 122 = 2 * 61
2 * 61, D61
61, C61
1, 1

n = 62, group_order = 124 = 2^2 * 31
2^2 * 31, D62
2 * 31, C62
2 * 31, D31
2 * 31, D31
2, C2
31, C31
1, 1

n = 63, group_order = 126 = 2 * 3^2 * 7
2 * 3^2 * 7, D63
3^2 * 7, C63
3 * 7, C21
3^2, C9
3, C3
7, C7
1, 1

n = 64, group_order = 128 = 2^7
2^7, D64
2^6, C64
2^6, D32
2^6, D32
2^5, C32
2^4, C16
2^3, C8
2^2, C4
2, C2
1, 1

n = 65, group_order = 130 = 2 * 5 * 13
2 * 5 * 13, D65
5 * 13, C65
5, C5
13, C13
1, 1

n = 66, group_order = 132 = 2^2 * 3 * 11
2^2 * 3 * 11, D66
2 * 3 * 11, C66
2 * 3 * 11, D33
2 * 3 * 11, D33
2 * 11, C22
3 * 11, C33
2 * 3, C6
2, C2
3, C3
11, C11
1, 1

n = 67, group_order = 134 = 2 * 67
2 * 67, D67
67, C67
1, 1

n = 68, group_order = 136 = 2^3 * 17
2^3 * 17, D68
2^2 * 17, C68
